,n_points,hvg_edges,hvg_avg_degree,nvg_edges,nvg_avg_degree,tn_nodes,tn_edges
count,283690.0,283690.0,283690.0,283690.0,283690.0,283690.0,283690.0
mean,152.97174380485743,286.2532376890268,3.6826804028174083,600.991797384469,7.480591101199227,36.384049490641196,63.64868342204519
std,85.19999232401679,167.82441312122205,0.24450644810314565,441.92081282484725,2.3646202313507723,12.696644937012064,32.64350409481717
min,50.0,49.0,1.96,49.0,1.96,1.0,1.0
25%,84.0,154.0,3.6,265.0,6.0,28.0,39.0
50%,98.0,184.0,3.738095238095238,410.0,7.090909090909091,38.0,57.0
75%,252.0,479.0,3.843137254901961,911.0,8.38888888888889,48.0,93.0
max,295.0,587.0,3.9796610169491524,7413.0,54.708487084870846,54.0,142.0
